index,annot1,annot2
train_08_158_3337,Uncausal,Uncausal
train_02_221_2016,Uncausal,Uncausal
train_08_308_1065,Uncausal,Countercausal
train_09_B_115_741,Uncausal,Uncausal
train_06_117_3246,Causal,Countercausal
train_03_37_2375,Uncausal,Causal
train_06_16_686,Causal,Uncausal
train_09_B_117_3091,Causal,Causal
train_03_112_1145,Uncausal,Uncausal
train_04_108_1298,Countercausal,Countercausal
train_06_26_2318,Causal,Causal
train_04_71_2695,Countercausal,Countercausal
train_05_258_2848,Countercausal,Countercausal
train_02_236_2119,Causal,Causal
train_03_206_1343,Uncausal,Causal
train_01_25_2462,Uncausal,Causal
train_03_237_2730,Uncausal,Uncausal
train_05_31_680,Causal,Causal
train_03_126_1479,Causal,Causal
train_07_225_1881,Uncausal,Causal
train_01_72_1777,Countercausal,Countercausal
train_06_268_1215,Countercausal,Countercausal
train_09_B_158_1858,Causal,Causal
train_04_17_3306,Causal,Countercausal
train_03_230_966,Countercausal,Countercausal
train_07_84_1310,Causal,Uncausal
train_07_79_3029,Uncausal,Causal
train_04_197_1211,Countercausal,Countercausal
train_03_216_825,Causal,Causal
train_08_13_2449,Causal,Causal
train_09_A_5_2757,Causal,Uncausal
train_01_172_1392,Countercausal,Countercausal
train_07_301_657,Causal,Causal
train_09_B_93_1951,Uncausal,Causal
train_05_137_2267,Countercausal,Countercausal
train_01_49_1028,Causal,Causal
train_08_290_2010,Countercausal,Countercausal
train_01_314_2435,Countercausal,Countercausal
train_05_147_3376,Countercausal,Countercausal
train_04_236_3140,Countercausal,Countercausal
train_03_51_2588,Causal,Uncausal
train_09_A_106_1187,Causal,Causal
train_04_107_594,Countercausal,Countercausal
train_05_209_2601,Countercausal,Countercausal
train_07_218_3268,Countercausal,Countercausal
train_03_292_2621,Countercausal,Countercausal
train_06_51_3044,Countercausal,Countercausal
train_02_2_1708,Countercausal,Countercausal
train_09_B_17_1361,Causal,Causal
train_04_118_2933,Uncausal,Causal
train_01_197_285,Countercausal,Countercausal
train_08_67_544,Countercausal,Countercausal
train_04_228_2944,Countercausal,Countercausal
train_08_57_78,Uncausal,Uncausal
train_03_187_203,Uncausal,Countercausal
train_06_269_2550,Uncausal,Uncausal
train_01_237_2439,Uncausal,Uncausal
train_05_212_450,Uncausal,Uncausal
train_03_130_2774,Causal,Causal
train_01_30_2873,Uncausal,Uncausal
train_08_72_60,Uncausal,Uncausal
train_03_25_465,Uncausal,Uncausal
train_08_222_1840,Uncausal,Uncausal
train_09_A_20_1935,Causal,Causal
train_07_8_1729,Uncausal,Uncausal
train_04_219_1198,Uncausal,Uncausal
train_07_13_2006,Countercausal,Countercausal
train_03_204_2929,Countercausal,Countercausal
train_04_9_574,Countercausal,Countercausal
train_04_161_254,Uncausal,Mixed
train_01_252_489,Uncausal,Uncausal
train_09_B_42_3039,Countercausal,Countercausal
train_04_113_2783,Countercausal,Countercausal
train_08_88_376,Uncausal,Uncausal
train_05_149_1764,Countercausal,Countercausal
train_07_212_1046,Countercausal,Countercausal
train_06_192_1062,Causal,Causal
train_01_100_2680,Causal,Causal
train_09_A_13_2503,Causal,Uncausal
train_09_B_89_1334,Countercausal,Countercausal
train_06_184_48,Causal,Causal
train_05_280_421,Uncausal,Uncausal
train_06_161_1854,Mixed,Causal
train_07_173_2625,Uncausal,Causal
train_09_A_92_1975,Uncausal,Causal
train_01_62_2152,Uncausal,Causal
train_09_B_157_3318,Uncausal,Uncausal
train_07_154_2390,Uncausal,Uncausal
train_06_87_2808,Causal,Uncausal
train_05_97_2914,Causal,Causal
train_09_A_102_3076,Causal,Causal
train_04_226_1112,Countercausal,Countercausal
train_08_249_3226,Uncausal,Uncausal
train_09_B_74_3177,Causal,Causal
train_09_B_144_696,Mixed,Causal
train_04_64_691,Countercausal,Countercausal
train_08_250_277,Causal,Causal
train_04_182_326,Causal,Causal
train_04_79_3078,Countercausal,Countercausal
train_03_73_1051,Countercausal,Countercausal
